N,E,psi,u,v,r
510.658,-197.863,3.12789,-0.000266416,0,0,
510.658,-197.863,3.12789,-0.000266416,0,0,
510.682,-198.714,3.10662,0.000586052,0,0,
510.682,-198.714,3.10662,0.000586052,0,0,
510.13,-198.3,3.11059,0.00036374,0,0,
510.13,-198.3,3.11059,0.00036374,0,0,
510.256,-198.395,3.10372,-4.23083e-05,0,0,
510.256,-198.395,3.10372,-4.23083e-05,0,0,
510.296,-197.98,3.11077,-0.000266416,0,0,
510.296,-197.98,3.11077,-0.000266416,0,0,
510.398,-197.793,3.1281,-0.000361516,0,0,
510.398,-197.793,3.1281,-0.000361516,0,0,
510.361,-198.416,3.09655,0.000586052,0,0,
510.361,-198.416,3.09655,0.000586052,0,0,
509.926,-198.498,3.13839,0.000524663,0,0,
509.926,-198.498,3.13839,0.000524663,0,0,
510.628,-198.896,3.10499,0.000316752,0,0,
510.628,-198.896,3.10499,0.000316752,0,0,
510.483,-198.26,3.10553,-4.23083e-05,0,0,
510.483,-198.26,3.10553,-4.23083e-05,0,0,
510.523,-197.845,3.11259,-0.000266416,0,0,
510.523,-197.845,3.11259,-0.000266416,0,0,
510.08,-198.559,3.14026,0.000524663,0,0,
510.08,-198.559,3.14026,0.000524663,0,0,
510.346,-198.845,3.10868,0.000586052,0,0,
510.346,-198.845,3.10868,0.000586052,0,0,
510.637,-198.321,3.1074,-4.23083e-05,0,0,
510.637,-198.321,3.1074,-4.23083e-05,0,0,
510.705,-198.292,3.10297,0.00036374,0,0,
510.705,-198.292,3.10297,0.00036374,0,0,
510.234,-198.621,3.14214,0.000524663,0,0,
510.234,-198.621,3.14214,0.000524663,0,0,
510.501,-198.907,3.11055,0.000586052,0,0,
510.501,-198.907,3.11055,0.000586052,0,0,
510.791,-198.383,3.10927,-4.23083e-05,0,0,
510.791,-198.383,3.10927,-4.23083e-05,0,0,
510.11,-198.34,3.11033,0.00036374,0,0,
510.11,-198.34,3.11033,0.00036374,0,0,
510.365,-198.064,3.10638,-4.23083e-05,0,0,
510.365,-198.064,3.10638,-4.23083e-05,0,0,
510.304,-198.405,3.09903,0.00036374,0,0,
510.304,-198.405,3.09903,0.00036374,0,0,
510.439,-198.06,3.13811,-0.000585723,0,0,
510.439,-198.06,3.13811,-0.000585723,0,0,
509.912,-197.836,-3.89935,-0.0012476,0,0,
509.912,-197.836,-3.89935,-0.0012476,0,0,
511.531,-198.45,-5.74955,-0.00135027,0,0,
511.531,-198.45,-5.74955,-0.00135027,0,0,
509.652,-197.914,-3.06683,0.00149136,0,0,
509.652,-197.914,-3.06683,0.00149136,0,0,
509.749,-198.17,-3.15524,0.00127186,0,0,
509.749,-198.17,-3.15524,0.00127186,0,0,
510.38,-198.345,3.95087,-0.00013049,0,0,
510.38,-198.345,3.95087,-0.00013049,0,0,
510.212,-197.073,5.4216,0.00137718,0,0,
510.212,-197.073,5.4216,0.00137718,0,0,
510.199,-199.427,2.41336,-0.000280305,0,0,
510.199,-199.427,2.41336,-0.000280305,0,0,
509.377,-199.57,2.31786,-0.000520095,0,0,
509.377,-199.57,2.31786,-0.000520095,0,0,
508.174,-199.494,1.9947,-0.000856363,0,0,
508.174,-199.494,1.9947,-0.000856363,0,0,
507.295,-201.563,1.79341,-0.000325518,0,0,
507.295,-201.563,1.79341,-0.000325518,0,0,
507.579,-200.897,1.57375,-0.00127438,0,0,
507.579,-200.897,1.57375,-0.00127438,0,0,
507.257,-201.201,1.50435,0.0022162,0,0,
507.257,-201.201,1.50435,0.0022162,0,0,
507.056,-201.76,1.32184,0.000442951,0,0,
507.056,-201.76,1.32184,0.000442951,0,0,
506.227,-201.578,1.19608,0.00120018,0,0,
506.227,-201.578,1.19608,0.00120018,0,0,
506.284,-203.317,1.0939,0.00300576,0,0,
506.284,-203.317,1.0939,0.00300576,0,0,
505.925,-201.843,1.03184,0.000615853,0,0,
505.925,-201.843,1.03184,0.000615853,0,0,
505.507,-201.919,0.892162,-7.4047e-05,0,0,
505.507,-201.919,0.892162,-7.4047e-05,0,0,
505.037,-202.701,0.697343,-0.000498415,0,0,
505.037,-202.701,0.697343,-0.000498415,0,0,
505.096,-202.504,0.501107,-0.000564503,0,0,
505.096,-202.504,0.501107,-0.000564503,0,0,
503.942,-202.009,0.34612,0.00232732,0,0,
