N,E,psi,u,v,r
532.23,-161.784,-2.15435,0.000586052,0,0,
532.23,-161.784,-2.15435,0.000586052,0,0,
532.521,-161.26,-2.15562,-4.23083e-05,0,0,
532.521,-161.26,-2.15562,-4.23083e-05,0,0,
532.589,-161.231,-2.16005,0.00036374,0,0,
532.589,-161.231,-2.16005,0.00036374,0,0,
531.349,-161.387,-2.14827,0.000458149,0,0,
531.349,-161.387,-2.14827,0.000458149,0,0,
532.033,-161.283,-2.16587,0.00036374,0,0,
532.033,-161.283,-2.16587,0.00036374,0,0,
532.107,-160.71,-2.13706,-0.000361516,0,0,
532.107,-160.71,-2.13706,-0.000361516,0,0,
532.071,-161.333,-2.1686,0.000586052,0,0,
532.071,-161.333,-2.1686,0.000586052,0,0,
531.938,-161.078,-2.1268,-0.000361516,0,0,
531.938,-161.078,-2.1268,-0.000361516,0,0,
532.337,-161.813,-2.16017,0.000316752,0,0,
532.337,-161.813,-2.16017,0.000316752,0,0,
532.192,-161.177,-2.15962,-4.23083e-05,0,0,
532.192,-161.177,-2.15962,-4.23083e-05,0,0,
532.233,-160.762,-2.15257,-0.000266416,0,0,
532.233,-160.762,-2.15257,-0.000266416,0,0,
531.789,-161.476,-2.12489,0.000524663,0,0,
531.789,-161.476,-2.12489,0.000524663,0,0,
532.091,-161.515,-2.1538,0.00036374,0,0,
532.091,-161.515,-2.1538,0.00036374,0,0,
532.347,-161.239,-2.15775,-4.23083e-05,0,0,
532.347,-161.239,-2.15775,-4.23083e-05,0,0,
532.414,-161.209,-2.16218,0.00036374,0,0,
532.414,-161.209,-2.16218,0.00036374,0,0,
531.943,-161.538,-2.12302,0.000524663,0,0,
531.943,-161.538,-2.12302,0.000524663,0,0,
532.21,-161.824,-2.15461,0.000586052,0,0,
532.21,-161.824,-2.15461,0.000586052,0,0,
532.501,-161.3,-2.15588,-4.23083e-05,0,0,
532.501,-161.3,-2.15588,-4.23083e-05,0,0,
532.569,-161.271,-2.16031,0.00036374,0,0,
532.569,-161.271,-2.16031,0.00036374,0,0,
531.329,-161.427,-2.14854,0.000458149,0,0,
531.329,-161.427,-2.14854,0.000458149,0,0,
532.013,-161.322,-2.16613,0.00036374,0,0,
532.013,-161.322,-2.16613,0.00036374,0,0,
532.087,-160.75,-2.13732,-0.000361516,0,0,
532.087,-160.75,-2.13732,-0.000361516,0,0,
532.086,-161.125,-2.16619,0.00036374,0,0,
532.086,-161.125,-2.16619,0.00036374,0,0,
531.918,-161.117,-2.12706,-0.000361516,0,0,
531.918,-161.117,-2.12706,-0.000361516,0,0,
532.317,-161.853,-2.16043,0.000316752,0,0,
532.317,-161.853,-2.16043,0.000316752,0,0,
532.172,-161.217,-2.15988,-4.23083e-05,0,0,
532.172,-161.217,-2.15988,-4.23083e-05,0,0,
532.213,-160.802,-2.15283,-0.000266416,0,0,
532.213,-160.802,-2.15283,-0.000266416,0,0,
531.769,-161.516,-2.12515,0.000524663,0,0,
531.769,-161.516,-2.12515,0.000524663,0,0,
532.165,-161.431,-2.15382,-4.23083e-05,0,0,
532.165,-161.431,-2.15382,-4.23083e-05,0,0,
532.327,-161.278,-2.15801,-4.23083e-05,0,0,
532.327,-161.278,-2.15801,-4.23083e-05,0,0,
532.367,-160.864,-2.15096,-0.000266416,0,0,
532.367,-160.864,-2.15096,-0.000266416,0,0,
532.165,-161.013,-2.13359,-0.000266416,0,0,
532.165,-161.013,-2.13359,-0.000266416,0,0,
532.225,-161.616,-2.15219,0.00036374,0,0,
532.225,-161.616,-2.15219,0.00036374,0,0,
532.481,-161.34,-2.15614,-4.23083e-05,0,0,
532.481,-161.34,-2.15614,-4.23083e-05,0,0,
532.549,-161.311,-2.16057,0.00036374,0,0,
532.549,-161.311,-2.16057,0.00036374,0,0,
531.309,-161.467,-2.1488,0.000458149,0,0,
531.309,-161.467,-2.1488,0.000458149,0,0,
531.993,-161.362,-2.16639,0.00036374,0,0,
531.993,-161.362,-2.16639,0.00036374,0,0,
532.067,-160.79,-2.13758,-0.000361516,0,0,
532.067,-160.79,-2.13758,-0.000361516,0,0,
532.066,-161.165,-2.16645,0.00036374,0,0,
532.066,-161.165,-2.16645,0.00036374,0,0,
531.898,-161.157,-2.12733,-0.000361516,0,0,
531.898,-161.157,-2.12733,-0.000361516,0,0,
532.297,-161.893,-2.16069,0.000316752,0,0,
532.297,-161.893,-2.16069,0.000316752,0,0,
532.152,-161.257,-2.16015,-4.23083e-05,0,0,
532.152,-161.257,-2.16015,-4.23083e-05,0,0,
532.193,-160.842,-2.15309,-0.000266416,0,0,
532.193,-160.842,-2.15309,-0.000266416,0,0,
531.749,-161.556,-2.12541,0.000524663,0,0,
531.749,-161.556,-2.12541,0.000524663,0,0,
532.145,-161.471,-2.15408,-4.23083e-05,0,0,
532.145,-161.471,-2.15408,-4.23083e-05,0,0,
532.307,-161.318,-2.15827,-4.23083e-05,0,0,
532.307,-161.318,-2.15827,-4.23083e-05,0,0,
532.347,-160.903,-2.15122,-0.000266416,0,0,
532.347,-160.903,-2.15122,-0.000266416,0,0,
532.145,-161.053,-2.13386,-0.000266416,0,0,
532.145,-161.053,-2.13386,-0.000266416,0,0,
532.205,-161.656,-2.15245,0.00036374,0,0,
532.205,-161.656,-2.15245,0.00036374,0,0,
532.461,-161.38,-2.1564,-4.23083e-05,0,0,
532.461,-161.38,-2.1564,-4.23083e-05,0,0,
532.529,-161.35,-2.16084,0.00036374,0,0,
532.529,-161.35,-2.16084,0.00036374,0,0,
531.289,-161.507,-2.14906,0.000458149,0,0,
531.289,-161.507,-2.14906,0.000458149,0,0,
532.067,-161.279,-2.16641,-4.23083e-05,0,0,
532.067,-161.279,-2.16641,-4.23083e-05,0,0,
532.047,-160.83,-2.13784,-0.000361516,0,0,
532.047,-160.83,-2.13784,-0.000361516,0,0,
532.046,-161.205,-2.16671,0.00036374,0,0,
532.046,-161.205,-2.16671,0.00036374,0,0,
531.878,-161.197,-2.12759,-0.000361516,0,0,
531.878,-161.197,-2.12759,-0.000361516,0,0,
532.1,-161.079,-2.1533,-4.23083e-05,0,0,
532.1,-161.079,-2.1533,-4.23083e-05,0,0,
532.039,-161.42,-2.16065,0.00036374,0,0,
532.039,-161.42,-2.16065,0.00036374,0,0,
532.173,-160.882,-2.15335,-0.000266416,0,0,
532.173,-160.882,-2.15335,-0.000266416,0,0,
532.032,-161.259,-2.12572,-0.000361516,0,0,
532.032,-161.259,-2.12572,-0.000361516,0,0,
532.125,-161.511,-2.15434,-4.23083e-05,0,0,
532.125,-161.511,-2.15434,-4.23083e-05,0,0,
532.287,-161.358,-2.15854,-4.23083e-05,0,0,
532.287,-161.358,-2.15854,-4.23083e-05,0,0,
532.327,-160.943,-2.15148,-0.000266416,0,0,
532.327,-160.943,-2.15148,-0.000266416,0,0,
532.125,-161.093,-2.13412,-0.000266416,0,0,
532.125,-161.093,-2.13412,-0.000266416,0,0,
532.185,-161.696,-2.15271,0.00036374,0,0,
532.185,-161.696,-2.15271,0.00036374,0,0,
532.439,-161.136,-2.15735,0.000797768,0,0,
532.439,-161.136,-2.15735,0.000797768,0,0,
532.481,-161.005,-2.14961,-0.000266416,0,0,
532.481,-161.005,-2.14961,-0.000266416,0,0,
531.265,-161.088,-2.15408,0.00139169,0,0,
531.265,-161.088,-2.15408,0.00139169,0,0,
532.176,-160.948,-2.16376,-4.23083e-05,0,0,
